# gamma, coupling, gap qubit, gap resonator 
0.000000000000000000e+00 8.731577515742122506e-16 1.804305568863018294e-02 4.472135954999579416e-02
2.000000000000000111e-01 4.487531289305652575e-04 1.333698677207739713e-02 4.472135954999579416e-02
4.000000000000000222e-01 6.642821583066737395e-04 1.020458088631315263e-02 4.472135954999579416e-02
6.000000000000000888e-01 7.581295252155001788e-04 8.029741311652349722e-03 4.472135954999579416e-02
8.000000000000000444e-01 7.885240545696895614e-04 6.467356415158054261e-03 4.472135954999579416e-02
1.000000000000000000e+00 7.825927058919146138e-04 5.312686257483933971e-03 4.472135954999579416e-02
1.200000000000000178e+00 7.579586354650334409e-04 4.438582562046766711e-03 4.472135954999579416e-02
1.400000000000000133e+00 7.247899709738867859e-04 3.763047949710829343e-03 4.472135954999579416e-02
1.600000000000000089e+00 6.879433983198028103e-04 3.231489812073551349e-03 4.472135954999579416e-02
1.800000000000000044e+00 6.504602248175990562e-04 2.806550395631601802e-03 4.472135954999579416e-02
2.000000000000000000e+00 6.141840580976856657e-04 2.462046627381697661e-03 4.472135954999579416e-02
2.200000000000000178e+00 5.795641780639282630e-04 2.179236065936285272e-03 4.472135954999579416e-02
2.400000000000000355e+00 5.432225954189421214e-04 1.944448139503229811e-03 4.472135954999579416e-02
2.600000000000000089e+00 5.123932712017087530e-04 1.747542412818159363e-03 4.472135954999579416e-02
2.800000000000000266e+00 4.839376187636414920e-04 1.580881946069201405e-03 4.472135954999579416e-02
3.000000000000000000e+00 4.575965366696130472e-04 1.438635494760864830e-03 4.472135954999579416e-02
3.200000000000000178e+00 4.338699809323860214e-04 1.316294354098745956e-03 4.472135954999579416e-02
3.400000000000000355e+00 4.151614924923720164e-04 1.210332145418879790e-03 4.472135954999579416e-02

